Trace,Scenario,TraceNumber,Median,Max,Min,SD,IQR,MaxDroughtLength,Driest10yr,Wettest10yr,demand,mead,powell,InitCombinedStorage,Neuron,Cluster
381,npc_cmip3,84,12.20466929,22.43032205,8.920852412,2.810434664,2.169739323,7,12.57757939,14.16325002,4.884889069,1093.605108,3660.881045,28.85699917,5,4
386,npc_cmip3,89,12.03560273,22.43010605,8.920876412,3.611960411,1.604447162,8,12.58040817,14.23214466,5.709599336,1071.185125,3609.555905,21.17047541,35,5
395,npc_cmip3,98,13.12580228,22.43015405,8.42869709,3.363177773,3.41575033,5,12.49765469,16.02512912,5.845687949,1078.94034,3653.174012,26.62677193,18,3
400,npc_cmip3,103,19.72049339,42.33030177,10.07009999,8.041232693,8.430877662,2,17.38646254,23.64786249,5.189107312,929.2881194,3467.451553,3.950099582,40,0
403,npc_cmip3,106,17.82784779,42.33037377,11.84191635,7.0612516,8.604311205,4,16.6765254,20.98604425,5.28381017,1072.271198,3611.783713,21.47118543,41,0
404,npc_cmip3,107,19.49056665,42.33051777,11.84170035,7.21472559,6.950819812,2,16.44605303,22.82816183,5.100239648,1048.18011,3598.827379,18.43792897,41,0
414,npc_cmip3,117,21.49458706,31.78581997,7.605611983,6.848181389,10.38196983,2,18.69230204,24.58615376,5.454814896,1048.87712,3583.995016,17.21911646,40,0
424,npc_cmip3,127,18.77172931,42.33052977,7.605647983,6.76988375,9.028583258,4,15.3909401,21.26256798,4.616018247,1005.480438,3532.069561,10.74963922,42,2
425,npc_cmip3,128,18.88744347,42.33044577,11.94595953,6.212313928,8.025725515,2,16.3354074,22.50938162,5.098656029,1038.712664,3565.333562,15.06062158,41,0
441,npc_cmip3,144,19.87937326,31.78595197,10.07019599,5.937874069,8.76177534,2,17.29323299,20.6918745,5.801371188,1103.952056,3666.796069,30.55773148,40,0
448,npc_cmip3,151,12.81333764,21.72190549,7.999018061,3.452297736,3.945494187,7,13.14820047,15.39938708,4.563724181,1095.54548,3671.019463,30.37933234,1,1
449,npc_cmip3,152,12.74090504,21.72197749,9.744464903,3.160835208,3.617369028,7,12.9323994,15.18054157,5.072782839,1103.547269,3655.608485,29.0639799,16,2
456,npc_cmip3,159,14.54235374,21.72203749,11.20342588,3.267145673,6.594627828,4,14.87797998,16.40124198,4.640199833,1087.192664,3626.986504,24.26370396,15,1
493,npc_cmip3,196,12.71261329,21.72203749,10.33183511,3.07175572,1.402942448,10,12.43049323,15.35701562,4.894131726,1087.783283,3651.608247,27.17469735,17,2
525,npc_cmip3,228,15.02907779,24.63177773,6.857461224,4.823695781,8.85662461,5,12.69620076,18.41230773,5.208690124,1096.892553,3652.34381,28.05920082,16,2
528,npc_cmip3,231,12.70703464,22.45687539,7.39517347,4.473557075,6.08707553,6,12.07515803,16.59044038,5.149346492,1027.480541,3532.843189,12.14836884,49,5
566,npc_cmip3,269,15.47681634,26.10710749,7.194169631,4.631612783,6.5018225,3,12.69589228,18.24928181,4.395629839,1110.94571,3700,36.04961642,14,1
581,npc_cmip3,284,12.67631308,25.87118656,7.194121631,4.10218999,5.60359241,6,12.100856,15.18725291,4.379089093,1064.431638,3586.531589,18.58855256,48,5
583,npc_cmip3,286,13.35174938,26.84457276,7.380515075,3.641775171,4.492933378,4,12.24412603,14.97007558,4.947782532,1022.783447,3542.717971,12.46149395,48,5
600,npc_cmip3,303,11.03578787,18.71960281,7.712961797,2.575381616,2.959626566,13,10.14111082,11.60268125,5.706539219,1084.83439,3643.964056,25.99343557,11,9
605,npc_cmip3,308,11.22944722,32.36640068,7.713117797,5.984505924,5.060937441,9,10.88784043,14.83413356,5.64217787,1043.146937,3581.508303,16.6112333,9,6
608,npc_cmip3,311,11.11871378,32.36628068,6.292946894,5.160782698,5.918270384,6,11.32966798,13.86718598,4.597615563,1021.877832,3525.542989,11.35879731,50,7
